Stichwort,Titel,Beschreibung,Sprachausgabe
fasla,fasla,"(gfaslat)'wimmeln (von)'. As faslat 'es wimmelt', von einer Menschenmenge oder etwa in einem Ameisenhaufen. Zu Fasl.",
fasnicht,Fasnicht,f.'Fasnacht'.,
fasoo,Fasoo,"f. Pl. Fasoona 'Form, Art, Machart; Eigenart'. Frz. façon.",
fassa,fassa,"'Heu zur Zügburdi oder zum Heuburdi aufschichten'. Vgl. auch Fasbett.",
faesslituuga,Fässlituuga,"f.Siehe das folgende Fas-Tuuga.",
fas-tuuga,Fas-Tuuga,"f. 'Fassdaube'. Mhd. dûge.",
faetza,Fätza,"m.'Fetzen' allgemein,'grosses Stück Land','grosses Stück Stoff','kleines Stück Papier','schlechte, abgenützte oder zu weite Kleidung','Alkoholrausch'.",
fatzaneedli,Fatzaneedli,"n.'Taschentuch'. Spätmhd. fatzenetlîn.",
fatzer,Fatzer,"m. Pl. gl.,auch mit gelängtem Vokal Faazer 'aus Vaz Stammender'. Uusluaga wia an Fatzer '«ausschauen wie ein Vazer»; ungepflegt sein'.",
faeula,Fäula,"f.'Rückstand beim Aussieden von Butter'.",
fee,Fee,"siehe Vee.",
feefi,Feefi,"n. weiblicher Vorname,Kurzform von Genoveva.",
feeri,Feeri,"m., männl. Vorname, Kurzform von Xafeeri.",
feesscha_1,Feesscha,f.'Mullbinde'.,
feesschachind,Feesschachind,n.'Kleinkind'.,
feia,feia,"(gfeiat)'spielen', nur von Tieren, hauptsächlich von Katzen.",
feima,feima,"(gfeimat)'schäumen'. As feimat im Säntihann '«es feimt im St. Johann»; d. h., wenn die Wolken über St. Johann (im Toggenburg) wie Schaum aussehen, kommt ein anderes Wetter.",
feist,feist,"'«feist»; dick'.",
feistheu,Feistheu,"n.'«Feistheu»; erste Heuernte, gutes Heu'. Mhd. veizt.",
feistheua,feistheua,"(feistgheuat)'das Feistheu einbringen'.",
feistweidig,feistweidig,"ist eine Kuh, die nur gutes Gras frisst.",
felamiini,Felamiini,"n.weiblicher Rufname Philomena.",
fella,fella,"(gfelld)wie nhd. fällen,Heu fella 'Heu durch das Rüsschlaloch in die Rüsschla im Viehstall befördern'.",
fengara,fengara,"(gfengarat)'Fangen spielen'.",
ferchanz,Ferchanz,"f. koll.'frei von der Arbeit','Schulferien', selten auch für Ferien allgemein.Hescht hüüt Ferchanz? 'hast Du heute frei?'. Frz. vacances.",
fergger,Fergger,"m. Pl. gl.'Schüttstein'. Vgl. auch gfergga.",
fescht,fescht,"'fest, beleibt', vom Menschen.",
fidertach,Fidertach,"n.'Dach aus kleinen, vielfach übereinandergehenden Schindeln'. Heute auch Schindalitach, zum Unterschied vom gewöhnlichen Schindeldach, das am Triesenberg lange nicht üblich war.",
fidribus,Fidribus,"m. Pl. gl.'gemütlicher, leichtsinniger Mensch','Aschenbecher'.",
figga,figga,"(gfiggat)'durch Reibung abnützen'.",
figgi,Figgi,"f.oder Figgimüli 'bestimmte Lage der Steine beim Nüünimaala'. Bei der Figgimüli liegen 5 Steine so, dass mit jedem Zug immereine Müli (drei nebeneinander liegende Steine) gebildetwerden kann. Auch in der Redewendung jetz hescht Figgi und Müli 'jetzthast Du die Wahl'.",
fii,fii,"'fein, zierlich', von Menschen, von einer Arbeit, wenn sie Feingefühl erfordert.",
fiini,Fiini,"n., weibl. Vorname,Kurz-/Koseform von Serafina.",
fiirtig,Fiirtig,m.'Feiertag'.,
finger,Finger,"m. Pl. Fingera, Dim. Fingerli'Finger'.",
fingerhuad,Fingerhuad,"m.'Fingerhuat', die Schutzkappe beim Nähen,'Fingerhut (Digitalis L.)', und zwar wohl hauptsächlich der blaue Grossblütige Fingerhut (Digitalis grandiflora Miller).",
firla,firla,"(gfirlat)'schlechte Musik machen; (ein Instrument) falsch spielen'.",
firlata,Firlata,"f.'schlechte, unstimmige Musik; Kakophonie'.",
firscht,Firscht,"m. Pl. gl.'oberster horizontaler Balken des Dachstuhls'.",
fiserla,fiserla,"(gfiserlat)'leicht schneien; nieseln'. Auch fisla.",
fisis,Fisis,"m.etwas im Fisis haben 'vorhaben, planen'. Ar hed s nid im Fisis 'er hat es nicht im Sinn; er will einfach nicht'.",
fisla,fisla,"(gfislat)'leicht schneien oder regnen'. Auch fiserla.",
fissch-chessi,Fissch-Chessi,"f.'«Fischkessel»; Kochkessel, der über dem Feuer an der Heel hängt'. Auch Chääs-Chessi.",
flaatscha,Flaatscha,"f.'Frau, die wenig Wert auf Sauberkeit legt'. Verstärkt auch Dräggflaatscha.",
flachha,flachha,"(gflachhat)'abflachen, flach werden'.",
flagg,Flagg,"m.'kurz und plötzlich auflodernde hohe Flamme'.",
flagga,flagga,"(gflaggat)'lichterloh brennen'.",
flaeggsa,Fläggsa,"f. Pl. gl.'Sehne im Fleisch'.",
flaera,Flära,"m. Pl. gl.'kleine Wunde'. Vgl. auch Maasa.",
flaetachha,Flätachha,"f. Pl. gl.'Flügel des Vogels'.",
flaetachhna,flätachhna,"(gflätachhnat)'fliegen', von einem Vogel.",
flaettera,Flättera,"f. Pl. gl.'Ohrfeige'.",
flaeuga_1,Fläuga,"f. Pl. gl., Dim. Fläugi 'Fliege'. I der Nood frissat der Teifl Fläuga 'in der Not frisst der Teufel Fliegen'.",
flaeugafenger,Fläugafenger,"m. Pl. gl.'«Fliegenfänger»', mit klebrigem Stoff getränkter Streifen, der an die Decke gehängt wird, wo er Fliegen anzieht, die an ihm kleben bleiben.",
flaeugataetscher,Fläugatätscher,"m.'Fliegenklappe'. Zu tätscha.",
flausa,Flausa,"f. Pl. gl.'dumme Idee'. Jemand der nur dumme Sachen macht, hat Flausa im Kopf.",
flia,flia,(gfloha)[flía]'fliehen'.,
fligg,Fligg,"m. Pl. gl.'Flickstück, Flickwerk'.",
fliggblaetz,Fliggblätz,"m.'Blätz mit dem etwas geflickt werden kann', meist auf Hosen und an Ellbogen von Pullovern oder Hemden.",
flogga,Flogga,"f. Pl. gl.'«Flocke», Scheeflocke'. Vgl. auch Flunga.",
floggna,floggna,"(gfloggnat)'stark schneien'.",
floona,floona,(gfloonat)'faulenzen'.,
flooner,Flooner,"m.'Faulenzer', auch von einem arbeitsscheuen Menschen.",
floeoezer,Flöözer,"m. Pl. gl.'Flösser'. Nur in der Redewendung nass as wia an Flöözer 'nass sein wie ein Flösser'.",
fludara,fludara,(gfluderat)'flattern'.,
fludarata,Fludarata,f.'Geflatter'.,
flummer,Flummer,"m.'Staubwischer mit Stiel'. Zu Fluum.",
flunga,Flunga,"f. Pl. gl., Dim. Flungi 'grosse Schneeflocke'. Vgl. auch >>>Flogga.",
fluengala,flüngala,"(gflüngalat) 'leicht schneien'. Zu >>>Flunga.",
fluri,Fluri,"m., männl. Vorname Florin.",
fluum,Fluum,"m. koll. 'Flaum', übertragen auch 'erster Bartwuchs bei Knaben'.",
fora,Fora,"f.'Wald-Föhre (Pinus silvestris L.)'.",
forabuschi,Forabuschi,"n. Pl. gl.'Zapfen der Föhre',Name für die Bewohner des Weilers Rotaboda. 
Vgl. auch Aralabuschi und Tannazapfa.",
fotza,Fotza,"f. Pl. gl., Dim. Fotzi 'kleiner, minderer Baum'.","Dein Browser unterstützt die Sprachausgabe nicht."
fotzazuu,Fotzazuu,"n.'Zaun aus kleinen Tännchen'. Die Zäune waren oft mit kreuzweise darüber gesteckten Zaunstecken verstärkt und besonders oben an der Waldgrenze üblich.",
foetzl,Fötzl,"m. Pl. gl.'Angsthase'. Auch Schiissfötzl und Schiisshasa.",
fraefla,fräfla,(gfräflat)'freveln'.,
franzi,Franzi,"n., weibl. Vorname,Kurz-/Koseform von Franziska.",
franzsepp,Franzsepp,"m., männl. VornameFranz-Josef.",
fraessa,frässa,"(gfrässa)'fressen'. Wia wennd r scha frässa wett '«wie, wenn er sie fressen wollte»', von einem Mann, der sich übertrieben verliebt gebärdet.",
fratz,Fratz,"m. Pl. Fretz, Dim. Fratzi 'ungezogenes Kind'.","Dein Browser unterstützt die Sprachausgabe nicht."
frau,Frau,"f. Pl. Fraua, Dim. Frauali 'Frau'. Jünger für Wiib.",
frauafurz,Frauafurz,"m.'«Frauenfurz», harmloser, kleiner Knallkörper', der von den Jugendlichen an der Fasnacht gezündet wird.",
freega,freega,(gfreegat)'fragen'.,
frei,frei,"'lieb, artig'.",
fridli,Fridli,"m., männl. Vorname,Kurzform von Fridolin.",
friili,friili,"'«freilich»; selbstverständlich'.",
friitig,Friitig,"m.Freitag'. A ma Friitig '«an einem Freitag»; (jeweils) freitags'.",
froenda,frönda,"(gfröndat)'«fremden»; sich vor unbekannten Menschen fürchten'. Hautpsächlich von Kindern, scherzhaft aber auch zu Bekannten, Freunden, die sich lange nicht mehr blicken liessen, bzw. die einen nicht sehen oder nicht sehen wollen. Mhd. vremden 'meiden'.",
fronta,Fronta,"siehe Frunta",
frossch,Frossch,"m. Pl. Frösscha, Dim. Frosschi 'Frosch'.",
frua,frua,'früh'.,
"frueajer,",früajer,"'früher, ehedem'.",
frueamaess,Früamäss,"f.'«Frühmesse»', die Hl. Messe sonn- und feiertags um 7:30 Uhr.",
frueamaesser,Früamässer,"m. Pl. gl. '«Frühmessser»; Pfarrhelfer, Kaplan'.",
frueaner,früaner,früajer,
"frunta,",Frunta,"f.jünger Fronta 'Giebel, Gaube', speziell der 'seitliche Giebel bei einem Kreuzgiebel'.",
fueacht,füacht,'feucht'.,
fueachta,füachta,"(gfüachtat)'feucht sein'.",
fuara,fuara,"(gfuarat)'schnell satt machen', von einer Speise, vgl. auch iheba,übertragen auch für eine anstrengende Arbeit, eine Wegstrecke etc.",
fueara,füara,"(gfüard)'«führen»; transportieren'.",
fuearig,füarig,"'gut handzuhaben' vom Gschir. Vgl. auch gäbig. Das Gegenteil ist ufüarig.",
fuarwaeaerch,Fuarwäärch,n.'«Fuhrwerk»'.,
fuarwaeaercha,fuarwäärcha,"(gfuarwäärchat)'«fuhrwerken»; unachtsam mit etwas umgehen; wild arbeiten'.",
fuas,Fuas,"m. Pl. Füass, Dim. Fuassi 'Fuss', aber auch 'Bein'.",
fuassati,Fuassati,"f.'Fussende des Betts'. Gegensatz zu Chopfati.",
fuatara,fuatara,(gfuatarat)'füttern'.,
fuater,Fuater,"n. koll.'Futter','Fütterung', bei Kleidern.",
fuaterfas,Fuaterfas,"n.'«Futterfass», Behälter für den Wetzstein'.",
fuedla,Füdla,"n. Pl. gl.'Gesäss'. Etwas nicht im Füdla haben 'nicht die Absicht haben, etwas bestimmtes zu tun'; zum Füdla uus nüüd bedeutet etwa 'keinen Pfifferling wert'. Mhd. fudloch.",
fuedli,Füdli,"m. Pl. gl.sagt man zu einem Kleinkind, wenn es mit nacktem Unterkörper umherrennt.",
fuggsa,fuggsa,"(gfuggsat) Dim. függsla.'«fuchsen»; ärgern'. Wenn etwas nicht gelingen will, fuggsat es einen.",
fuggsroot,fuggsroot,"'«fuchsrot», sehr rot'.",
fueli,Füli,"n. Pl. gl.'«Fohlen»; junges Pferd'.",
fuelli,Fülli,"m. Pl. gl.'Füllfederhalter'.",
fungga,Fungga,"m.'Funken', 'Holzstoss, der am Funggasunntig angezündet wird, um den Winter zu vertreiben'.",
funggachueachli,Funggachüachli,"n.'«Funkenküchlein»; Gebäck, das am Funggasunntig gebacken wird'.Der Funggasunntig wird deswegen gelegentlich auch Chüachlisunntig genannt. Auch nur kurz Chüachli (vgl. Chuachha).",
funggahaex,Funggahäx,"f.'«Funkenhexe»', Stoffpuppe, die am Funggasunntig auf dem Fungga verbrannt wird.",
funggalatta,Funggalatta,"f.'«Funkenlatte»; ca. 10 bis 15 m hoher, dünner Stamm, um den das Holz des Funkens geschichtet wird.",
funggasunntig,Funggasunntig,"m.'«Funkensonntag»', der Sonntag nach Aschermittwoch. Auch Chüachlisunntig.",
funzla,Funzla,"f. Pl. gl.'schlecht leuchtende Lampe, kleines Öllämpchen', auch allgemein für 'Lampe, Taschenlampe'.",
fura_1,Fura,"f. Pl. gl., Dim. Furi'der talwärts gelegene Ackerrand'. Mhd. furche.",
"furabogg,",Furabogg,"m.auch Furibogg 'Gestell für die Chrääza beim Fura'. Auch Furaschraga. Vgl. auch Chrääzaschraga.",
fueranandera,füranandera,[füranándera]'füreinander'.,
"furaschraga,",Furaschraga,"m.auch Furischraga 'Gestell für die Chrääza beim Fura'. Auch Furabogg. Vgl. auch Chrääzaschraga.",
fuerder,fürder,"'in Zukunft; fürderhin'. Dr Härrgott läbt au noch fürder, tüad ma au fescht vertraua '«der Herrgott lebt auch künftig, tut ihm auch fest vertrauen». Auch fürschterhi.",
furgga,Furgga,"f. Pl. gl., Dim. Fürggli 'Mistgabel mit zwei Zinken',im Dim. auch 'Bergübergang'. 
Mhd. furke.",
fuerha,fürha,"'«fürher»; hervor'. Chum fürha '«komm hervor!»; zeig Dich!'",
fuerhang,Fürhang,"m. Pl. Fürheng 'Vorhang; Gardine'.",
fuerig,fürig,"'übrig'. Ar hed nüüd Fürigs bzw. ar hed nüüd fürig  'er hat nichts zuviel'",
fuermgotta,Fürmgotta,f.'Firmpatin'.,
fuermgoetti,Fürmgötti,m.'Firmpate'.,
fuermig,Fürmig,f.'Firmung'.,
fuerschi,fürschi,"'nach vorne, vorwärts'. Fürschi machha 'vorwärtsmachen, weitermachen', aber auch 'bei einem Geschäft etwas verdienen'.",
fuerschterhi,fürschterhi,"'in Zukunft, künftig'. Auch fürder.",
furt,furt,'fort'.,
furz,Furz,"m. Pl. Fürz, Dim. Furzi 'Darmwind',übertragen auch 'etwas Kleines, Geringes; Bagatelle; dumme Idee'.",
fusl,Fusl,"m.'minderwertiger Branntwein'.",
fuslruschtig,Fuslruschtig,"f.'Gesindel'. Zu Ruschtig.",
fueuef,füüf,"'fünf', die Zahl 5.",
fueuefi,füüfi,"'fünf Uhr'.",
fuul,fuul,"'faul'. Auch verstärkt mischtdräggfuul '«mistdreckfaul»'.",
fuulenza,fuulenza,(gfuulenzat)'faulenzen'.,
fuulenzer,Fuulenzer,"m. Pl. gl.'Person, die faulenzt','einfache, gepolsterte Sitzbank mit Lehne'.",
fueueli,Füüli,"f. Pl. Füülana'Fäule','Müdigkeit'. Ich bi an u Füüli 'ich bin sehr müde'.",
fueuer,Füür,"n.'Feuer'. Auch als Verstärkung in der Verbindung füürböösch.",
fueuera,füüra,"(gfüürat)'Feuer machen'. Auch afüüra und ifüüra. Vgl. auch alegga.",
fueuerbaesa,Füürbäsa,"m.'«Feuerbesen»'. Der Füürbäsa war ein langer Stecken, an dessen unterem Ende (nasse bzw. angefeuchtete) Lumpen angemacht waren.",
fueuerboeoesch,füürböösch,"'«feuerböse»; sehr böse, sehr verärgert'.",
fueuerloch,Füürloch,"n.'«Feuerloch»; offene Feuerstelle'.",
fuuscht,Fuuscht,"f. Pl. Füüscht, Dim. Fuuschti'Faust'. D Fuuscht im Sagg machha '«die Faust im Sack machen»'",
fuuschtstoossa,Fuuschtstoossa,"n.'«Fauststossen»', ein Kampfspiel, bei dem sich die Gegner Faust gegen Faust an einem Tisch vom Tisch wegzustossen versuchen.",
gae,gä,"(ggä)'geben','beim Jassa die Karten unter den Spielern verteilen'.",
ga,ga,"'«gen»; nach'. Gam Stäg (auch zum Stäg); ga Vaduz, ga Schaa usw.",
gaa,gaa,"(gganga)'gehen','dauern'. 
Wia lang geid s? 'wie lange dauert es noch?';  gaa laa '«gehen lassen»; in Ruhe lassen'.",
gaeael,gääl,'gelb'.,
gaeaelrueabli,Gäälrüabli,"n.'«Gelbrübe»; Karotte'. Auch nur kurz Rüabli.",
gaalt,gaalt,"'keine Milch gebend', meist für hochträchtige Rinder, aber auch für Kühe, wenn sie vor dem kalbern keine Milch mehr geben. Mhd. galt 'unfruchtbar'.",
gaeaelta,gäälta,"(ggolta)'wert sein', nur von Menschen, bei Sachen wäärd sii. Äna hed ungemein bei ma ggolta '«jener hat sehr viel bei ihm gegolten»'. Vgl. auch wäärd.",
gaaltalpa,Gaaltalpa,f.'Rinderalp'.,
gaaltlig,Gaaltlig,"m.'einzelnes Rind, das gaalt ist'.",
gaaltvee,Gaaltvee,"n.'«Galtvieh»; Rinder, welche gaalt sind'.",
gaar,gaar,"'gar', verstärkend zu Adjektiven. As ischt gaar chaald 'es ist sehr kalt'; das sind gaar schweeri Uufgaba gsi 'das waren sehr schwere Aufgaben'.",
gaeaera,gäära,"'gern'. Gäära guat '«gern gut»', säälta guat '«selten gut»'. Vgl. auch ugäära 'ungern'. Mhd. gërne.",
gaara,Gaara,"n.'Garn'. I ds Gaara cho 'störend dazwischen kommen'.",
gaeaerberhund,Gäärberhund,"m.'Hund des Gerbers'. Nur in der Redensart chotza wia an Gäärberhund '«kotzen wie ein Gerberhund»'.",
gaeaerbi,Gäärbi,"f.'«Gerbe»; Gerberei'.",
gaarta,Gaarta,"m. Pl. Gäärta, Dim. Gaarti 'Garten'.",
gaebig,gäbig,"'gut handzuhaben, angenehm. Vgl. auch füarig.",
gabl,Gabl,"f.'Kuh mit einer schönen Gablati'.",
gabla,Gabla,"f. Pl. Gabla, Dim. Gabelti, Gäbali 'Gabel'speziell die '(dreizinkige) Heugabel'.",
gablati,Gablati,"f.'Hörner der Kuh'. Vgl. auch Gabl.",
gabritzi,Gabritzi,"n.'Laune, Hochmut'. Aus frz. caprice, vgl. auch nhd. kapriziös.",
gad,gad,"'soeben'. Etz bin i gad eerscht ko '«jetzt bin ich gerade erst gekommen»'.",
gada,Gada,"m. Dim. Gädami 'Stall, Scheune, Heuschober, Nebengebäude'. Mhd. gadem n. 'Haus von nur einem Gemach; Kammer; Stockwerk; Verschlag'.",
gaegae(t),gägä(t),"'gegen' örtl. u. zeitl. Gägat di Vieri 'gegen vier (Uhr)'; gägat wär geid s '«gegen wen geht es»; gegen wen spielen wir'.",
gaeganuber,gäganuber,'gegenüber'.,
gagara,gagara,(gaggarat)'gackern'.,
gagarata,Gagarata,"f.'andauerndes Gackern'.",
gaggalaari,Gaggalaari,"m.'leichtsinniger, dummer Mensch', eher gut meinend. Vgl. auch Galööri.",
gaggsa,gaggsa,(ggaggsat)'gackern'.,
gagla_1,Gagla,"f. Pl. gl., Dim. Gagelti 'Mist von Ziege und Schaf','kleines, minderwertiges Stück Obst oder Gemüse'.",
galatza,galatza,"(ggalatzat)[galátsa]'reichlich essen, schlemmen'.",
gaell(t),gäll(t),"'«gell»; nicht wahr'.",
gaellig,gällig,"'«gällend»; äusserst scharf, offenbar, klar hervortretend, hoher Grad einer Eigenschaft'. Das gällig Iisch '«das gällige Eis»; blankes Eis'.",
galoeoeri,Galööri,"m.'dummer Kerl'. Vgl. auch Gaggalaari.",
gams,Gams,"m. Pl. gl., Dim. Gamsi 'Gemse'.",
gang,Gang,"m.'Gang, Flur, Korridor', auch Huusgang, 
'die Art des Gehens','Auftrag, irgendwohin zu gehen bzw. etwas zu erledigen'.",
gangga_1,Gangga,f.'Schaukel'.,
gangwaeaerch,Gangwäärch,"n.'«Gangwerk»; Fussbekleidung, Schuhe'. Siehe oben Gang.",
gant,Gant,"f.'Versteigerung'. Etwas muss uf d Gant («auf die Gant»), wenn es versteigert wird. Mhd. gant.",
ganta,ganta,"(ggantat)'versteigern, ersteigern, mitsteigern'.",
ganz,ganz,"'«ganz»; vollständig, unbeschädigt','sehr'. I bi ganz zfrida 'ich bin sehr zufrieden'; as ischt no ganz '«es ist noch ganz»; es ist noch unbeschädigt'.",
gara,gara,"(ggarat)'schauen, lugen', uussagara 'herausschauen'.",
gaera,gära,"(ggärat)'wollen, mögen, gern haben'. I gära nid 'ich mag nicht, ich verzichte', i gära käs Fleisch 'ich mag kein Fleisch'. Zu gäära.",
gari,Gari,"m.'grosswüchsiger Mann'. Zu obigem gara?",
gaetschi,Gätschi,"n. Pl. gl., auch Gätschgi 'Kerngehäuse des Obstes', auch 'kleines, minderwertiges Stück Obst'.","Dein Browser unterstützt die Sprachausgabe nicht."
gattig,Gattig,"f.'Gestalt, Aussehen (von Personen und Sachen); Art und Weise; Manier des Benehmens'. Vgl. auch agattaga. Nur noch in der Redewendung das hed kä Gattig 'das gehört sich nicht' bzw. 'das passt nicht'.","Dein Browser unterstützt die Sprachausgabe nicht."
gaetzi,Gätzi,n.'Schöpfkelle'.,
gauma,gauma,"(ggaumat)'Kinder hüten', aber auch 'kranke Menschen pflegen. Vgl. auch chindsmagda. Mhd. goumen.",
gauz,Gauz,"m. Pl. Gäuz 'Schrei, einmaliges Bellen', im Plural auch vom Husten.",
gauza,gauza,"(ggauzat)'bellen','stark husten',agauza 'anschreien'.",
geech,geech,"'steil' (von Abhängen, Wegen). Auch stotzig. Mhd. gaehe 'ungestüm, heftig'.",
geechzoornig,geechzoornig,"'jähzornig'. Mhd. gaechzornic.",
geela,Geela,"f., weibl. Vorname,Kurzform von Angelika.",
geemerna,Geemerna,"f.'weisser Germer (Veratrum album L.)'.",
geggat,geggat,"'«geeckt»; eckig'.",
geifer,Geifer,"m. koll.'Speichel'. Ein Geifer Schnee 'ganz wenig Schnee'. Vgl. auch Speuz, Spuder und Chuder.","Dein Browser unterstützt die Sprachausgabe nicht."
geifera,geifera,"(ggeifarat)'Geifer aus dem Mund rinnen lassen; speicheln'.",
geis,Geis,"f. Pl. gl., Dim. Geissi 'Ziege'.",
geischaeaesnapf,Geischääsnapf,"m.'«Geisskäsenapf»; Form für den Ziegenkäse'.",
geischt,Geischt,"m.'Geist', auch 'Alkohol'.",
geisfasl,Geisfasl,"m.'Ziegenherde'. Zu Fasl.",
geisplachta,Geisplachta,"f.'Huflattich (Tussilago Farfara L.)'. Auch Rüfiblüamli.",
geissler,Geissler,"m. Pl. gl.'Ziegenhirte'. Wo der Geissler sein Horn bläst, herrscht Armut.",
"geissler,","Geissler, wilda","- siehe Wilda Geissler",
geisslerhoora,Geisslerhoora,"n.'Horn des Ziegenhirten'.",
gella,gella,"(ggellat)'schreien, schrill tönen'.",
gelta,Gelta,"f.Pl. gl.'grösseres rundes oder ovales Gefäss', aus verschiedenen Materialien, früher Holz oder Kupfer, heute meist Kunststoff. Mhd. gelte.",
gfel,Gfel,"n. koll.'Glück'. Vgl. auch Ugfel 'Unglück, Pech'. Mhd. gevelle.",
gfellig,gfellig,"'«gefällig», vom Glück begünstigt'. Mhd. gevellic 'günstig, angemessen, passend, angenehm'.Ar ischt schweer Gfellaga gsi sagt man von einem Menschen, der nach schwerer Krankheit sterben durfte.",
gfergga,gfergga,"(gferggat)'bewältigen', speziell 'Wasser aufnehmen mögen', von einem Rohr oder Abfluss. Zu mhd. vertigen. Vgl. auch Fergger.",
gfriera,gfriera,"(gfroora)'gefrieren'. Mhd. gevroeren.",
gfrueuend,gfrüünd,"'verwandt'. Mhd. gevriunt 'befreundet, verwandt'.",
ghaessaga,Ghässaga,"m.'bösartiger, nachtragender Mensch'. Zu ghässig.",
ghaessig,ghässig,"'«gehässig»; bösartig, nachtragend'.",
gheg,Gheg,"n.'«Gehege»; Gestrüpp'.",
ghei,Ghei,"n.'Dunst, Nebeldunst'. Mhd. gehei n. 'Hitze, Brand'.",
gheia,gheia,keia,
gheiig,gheiig,"'dunstig'. Zu Ghei.",
ghotzlat,ghotzlat,"'verschlissen, mit verschlissenen Kleidern gekleidet, schlecht gekleidet'. Siehe auch Hotzli.",
ghuus,Ghuus,"n.'Gehäuse, Haus'. Z Ghuus sii 'zur Miete wohnen'.",
ghueueslat,ghüüslat,"'«gehäuselt»; kariert (von Stoffmustern)'.",
gibachta,gibachta,"(gibachtat)'beobachten, ausspionieren, erspähen'.",
gibaett,Gibätt,"n. Pl. gl.'Gebet'.",
gibl,Gibl,"m. Pl. gl., Dim. Gibelti 'Giebel'. Mhd. gibel.",
giess-chanta,Giess-Chanta,"f.'Giesskanne'. Verbreiteter ist heute Sprützchanta.",
giftla,giftla,"(ggiftlat)'«gifteln»; sticheln'.",
gigara,gigara,"(ggigarat)'kichern, lachen'. Auch giggsa.",
giggsa,giggsa,"(ggiggsat)'lachen'. Auch gigara.",
gigoggs,Gigoggs,m.'Eidechse'.,
giid,Giid,"m.'Habsucht, Geiz'. Mhd. gît.",
giiga,giiga,"(ggiigat)'geigen, Musik machen'.",
giigampfa,giigampfa,(ggiigampfat)'schaukeln'.,
giigampfi,Giigampfi,"f.'Schaukel', speziell der Balken der auf einem Untersatz im Gleichgewicht gehalten wird.",
giitig,giitig,"'gierig, geizig'. Mhd. gîtic.",
giitwurm,Giitwurm,"m.'Mitesser', im Plural Giitwürm 'Akne'.","Dein Browser unterstützt die Sprachausgabe nicht."
ginggala,ginggala,"(gginggalat)'herumtun, der Arbeit nicht gerade nachrennen'.",
